Диалоги о воспитании;;1982;Педагогика;-
Москва вчера и сегодня;;1978;Общественные и гуманитарные науки;-
Москва: город и человек. Вып.2;;1989;Общественные и гуманитарные науки;-
Персональные ЭВМ;;1988;Наука. Техника;-
Сборник упражнений по языку Паскаль;Пильщиков Владимир Николаевич;1989;Образование;5-02-013995-5
The american book of tables;;1976;Астрология;-
Акционерные общества и ценные бумаги;;1990;Деловая литература;-
Ракетная застава;Анисин Иван Иванович;1976;Военная;-
Справочник молодого слесаря-ремонтника;Арбузов Михаил Олегович;1985;Справочники;9-170-8603-1
АПК: экономическая реформа и демократизация;;1988;Экономика;5-250-00179-3
Армия и комсомол;;1983;Военная;-
Собрание сочинений, том 5 . Проза 1916-1963;Асеев Николай Николаевич;1964;Проза;-
Дом в Кудрине;Балабанович Евгений Зенонович;1961;Литературоведение;-
Собрание сочинений в шести томах,том2;Балашов Дмитрий Михайлович;1991;Романы;5-280-01603-9
Собрание сочинений в шести томах,том 3;Балашов Дмитрий Михайлович;1991;Романы;5-280-01604-7
Собрание сочинений в шести томах,том 4;Балашов Дмитрий Михайлович;1992;Романы;5-280-02037-0
Собрание сочинений в шести томах,том 4;Балашов Дмитрий Михайлович;1992;Романы;5-280-02037-0
Бирма. Справочник;;1982;Политика;-
Правда революции- правда искусства;Блейман Михаил Юрьевич;1961;Искусство.Культура;-
Современный Кувейт;Бодянский Вадим Лазаревич;1971;Справочники;-
Избранные произведения. Т.2;Боков Виктор Фёдорович;1975;Поэзия;-
Вожди и советники;Бурлацкий Федор Михайлович;1990;Политика;5-250-00689-2
В Манавумбе нефть пахнет кровью;;1982;Зарубежная литература;-
Вас ждут политические училища;;1990;Военная;5-203-01037-4
Возвращенные имена;;1989;Политика;5-7020-0029-3-89
Люди, ракеты, боеготовность;Горчаков Петр Андреевич;1985;Военная;-
Летняя трудовая четверть;Грищенко Александр Сергеевич;1979;Педагогика;-
Призвание;Губанов Геннадий Андреевич;1982;Военная;-
Новая завершенная система вторичных дирекций. Главы из книги;Девисон Р.;1994;Мистика;-
10 вечеров молодежи;;1963;Общественные и гуманитарные науки;-
Порог. Повесть о Софье Перовской;Долгий Вольф Гитманович;1974;Проза;-
Контроль моделей в металлообработке;Ефремов Эдвин Филиппович;1981;Справочники;-
Справочник молодого электромонтажника;Живов Михаил Семёнович;1979;Справочники;-
Михаил Иванович Калинин;Жирков Геннадий Васильевич;1982;Политика;-
За сплоченность международного коммунистического движения;;1964;Общественные и гуманитарные науки;-
Правда и поэзия ленинского образа;Зайцев Николай Васильевич;1967;Искусство. Культура;-
Сервис открытых информационно-вычислительных сетей;Зайцев Сергей Сергеевич;1990;Компьютеры. Интернет;5-256-00757-2
Толковый словарь по вычислительной технике и программированию;Заморин Анатолий Петрович;1987;Компьютеры. Интернет;-
Зарубежные молодежные организации;;1985;Политика;-
Десант выбирает нас;Иванов Николай Фёдорович;1989;Военная;5-7030-0191-9
